Technique,accuracy,precision,recall,f1
Aho-Corasick,0.7540965933592065,0.9471608832807571,0.35168374816983894,0.5129190689728806
SVM,0.930034497628288,0.9153153153153153,0.8925329428989751,0.9037805782060786
Bi-LSTM,0.99374730487279,0.9967445989937851,0.9862371888726208,0.9914630556373271
CNN-BiLSTM,0.9951487710219923,0.9982259018332348,0.9885797950219619,0.9933794321023981
